Date,Stock Price Breadth
2022-04-27,675.3556320774846
2022-04-28,649.4453491393198
2022-04-29,588.217659314842
2022-05-02,542.2919182751045
2022-05-03,527.0413188600045
2022-05-04,555.1470618720165
2022-05-05,535.6899748738283
2022-05-06,502.52547977285894
2022-05-09,432.749101665785
2022-05-10,364.83710787744417
2022-05-11,288.5681073601613
2022-05-12,233.5786286740894
2022-05-13,232.02268306639928
2022-05-16,233.24382499927984
2022-05-17,274.22636707979296
2022-05-18,267.2967592682397
2022-05-19,267.79034334061873
2022-05-20,268.5518582859816
2022-05-23,298.8736186933061
2022-05-24,313.3974612806799
2022-05-25,360.7274788252581
2022-05-26,439.5406096050484
2022-05-27,546.6611608690271
2022-05-31,615.9470479914335
2022-06-01,659.0866427928462
2022-06-02,729.1587855118134
2022-06-03,761.0273072632422
2022-06-06,801.5649163970189
2022-06-07,857.5655674769732
2022-06-08,882.000476594693
2022-06-09,858.9675671982777
2022-06-10,799.7263731332057
2022-06-13,700.6968001568266
2022-06-14,604.9049791122702
2022-06-15,552.2290025837414
2022-06-16,463.65584828154897
2022-06-17,396.7123974821724
2022-06-21,372.35384514402784
2022-06-22,344.44725497077184
2022-06-23,324.5907458019786
2022-06-24,337.165375565074
2022-06-27,353.4194678345755
2022-06-28,345.02358443888323
2022-06-29,313.9851175571912
2022-06-30,265.6060006197621
2022-07-01,254.2860346075258
2022-07-05,233.21630249040476
2022-07-06,198.4453920623413
2022-07-07,209.88956691815696
2022-07-08,209.63287171988333
2022-07-11,180.17165443764299
2022-07-12,146.6739356275387
2022-07-13,115.83737042566405
2022-07-14,58.334945203672675
2022-07-15,52.55091591122451
2022-07-18,62.631561407458896
2022-07-19,118.2433658827607
2022-07-20,181.10934708800573
2022-07-21,248.64181416770168
2022-07-22,285.19649477376754
2022-07-25,334.28322266778844
2022-07-26,358.73308551141406
2022-07-27,417.53034321888333
2022-07-28,493.98375432730245
2022-07-29,583.0921329983811
2022-08-01,655.5791893419645
2022-08-02,705.7430224034226
2022-08-03,765.5329858668529
2022-08-04,809.4316654707071
2022-08-05,859.5088993476118
2022-08-08,921.182986878079
2022-08-09,965.4678206478334
2022-08-10,1044.8874598319355
2022-08-11,1125.157898089206
2022-08-12,1230.3532192941548
2022-08-15,1314.9081280353607
2022-08-16,1398.1521939389709
2022-08-17,1435.8019098613147
2022-08-18,1471.885212249174
2022-08-19,1464.2219050265678
2022-08-22,1418.6091487043766
2022-08-23,1380.4835679944238
2022-08-24,1365.8560183860372
2022-08-25,1387.2226827861762
2022-08-26,1359.405489791362
2022-08-29,1315.3520935540341
2022-08-30,1243.5986468463345
2022-08-31,1160.5012212570084
2022-09-01,1070.2469542425663
2022-09-02,979.934148938209
2022-09-06,882.9129461058021
2022-09-07,833.5980943719669
2022-09-08,811.0761976442827
2022-09-09,833.4245390384444
2022-09-12,888.9071667380465
2022-09-13,890.0096837515829
2022-09-14,891.7656439992412
2022-09-15,875.9126939608074
2022-09-16,832.2435247209582
2022-09-19,818.6533387035747
2022-09-20,766.8306304266856
2022-09-21,685.2648772919013
2022-09-22,587.5869375650609
2022-09-23,463.5908376044748
2022-09-26,321.135221632289
2022-09-27,201.14840649951884
2022-09-28,143.67213045526418
2022-09-29,60.384814999898424
2022-09-30,-14.749648245999111
2022-10-03,-33.422548682451264
2022-10-04,0.9991767980345969
2022-10-05,21.026582793364042
2022-10-06,16.751860701146683
2022-10-07,-24.334474004742034
2022-10-10,-79.96344538066121
2022-10-11,-129.81205224780467
2022-10-12,-173.24737864935787
2022-10-13,-172.76486724761605
2022-10-14,-205.2783630043182
2022-10-17,-184.0023801153676
2022-10-18,-128.74487032373324
2022-10-19,-101.50002678374415
2022-10-20,-82.39542323910294
2022-10-21,-27.704759551457045
2022-10-24,32.17868929668012
2022-10-25,124.23371031334997
2022-10-26,219.27921520031325
2022-10-27,309.25515808467685
2022-10-28,412.27121072483004
2022-10-31,494.4181318377478
2022-11-01,581.7368698155723
2022-11-02,617.3199670785931
2022-11-03,644.4284042911464
2022-11-04,694.6035324189388
2022-11-07,751.0503171470186
2022-11-08,813.3490649602055
2022-11-09,825.2788946084407
2022-11-10,876.1433587583034
2022-11-11,943.7357866692753
2022-11-14,979.5356355973857
2022-11-15,1034.0716954684751
2022-11-16,1048.8184077372466
2022-11-17,1049.0772789493226
2022-11-18,1060.874881444751
2022-11-21,1060.7039532718136
2022-11-22,1084.1040236938402
2022-11-23,1118.4014985489064
2022-11-25,1156.378965691514
2022-11-28,1150.5232093087302
2022-11-29,1163.9567868205454
2022-11-30,1213.6006190753817
2022-12-01,1250.5489772040473
2022-12-02,1286.8900570469823
2022-12-05,1272.6387695088738
2022-12-06,1237.4649596873564
2022-12-07,1193.9793400810256
2022-12-08,1168.4252786935328
2022-12-09,1129.3331773017824
2022-12-12,1121.8030685465314
2022-12-13,1128.068762588662
2022-12-14,1117.2044679894825
2022-12-15,1068.8976614425856
2022-12-16,997.6915729990271
2022-12-19,912.8153188304967
2022-12-20,850.104668414524
2022-12-21,834.0407485540313
2022-12-22,795.3910124445354
2022-12-23,784.1658457159165
2022-12-27,778.1528244820978
2022-12-28,739.029775725002
2022-12-29,747.0973575006587
2022-12-30,744.8068345515916
2023-01-03,743.9973434152108
2023-01-04,779.6258780390976
2023-01-05,798.7776249667902
2023-01-06,853.000374631735
2023-01-09,908.092141341034
2023-01-10,980.2644871721659
2023-01-11,1064.571212700565
2023-01-12,1160.706367100739
2023-01-13,1252.3204285786367
2023-01-17,1323.991922835917
2023-01-18,1347.6784765118853
2023-01-19,1346.5299184163034
2023-01-20,1379.474920868543
2023-01-23,1429.01937724294
2023-01-24,1460.3367831766848
2023-01-25,1495.1803204344233
2023-01-26,1537.679032400997
2023-01-27,1578.528433188971
2023-01-30,1583.1514440484898
2023-01-31,1623.5840581224795
2023-02-01,1672.416221928079
2023-02-02,1724.7400897997866
2023-02-03,1739.3244905077129
2023-02-06,1725.3851843979983
2023-02-07,1724.1650176663252
2023-02-08,1697.46492215664
2023-02-09,1643.7623014050923
2023-02-10,1598.3082870999215
2023-02-13,1583.7718928134202
2023-02-14,1567.1840787005679
2023-02-15,1561.8971156394066
2023-02-16,1529.1519524924774
2023-02-17,1487.916637623714
2023-02-21,1411.2479512308435
2023-02-22,1342.5824289901536
2023-02-23,1289.7574900874858
2023-02-24,1220.8571650886079
2023-02-27,1161.7790906099053
2023-02-28,1100.714354517765
2023-03-01,1042.8045396375533
2023-03-02,1003.65935703033
2023-03-03,1005.14856588197
2023-03-04,1041.37273338669
2023-03-06,1052.24318979698
2023-03-07,1023.23385181015
2023-03-08,996.526471773203
2023-03-09,928.975627847391
2023-03-10,831.17858220489
2023-03-11,708.010019322832
2023-03-13,580.958761376655
2023-03-14,497.895144084674
2023-03-15,400.119884608067
2023-03-16,344.429755594549
2023-03-17,260.319989255306
2023-03-18,152.331981834265
2023-03-20,83.5114958222995
2023-03-21,61.0453355826651
2023-03-22,6.07282329866634
2023-03-23,-52.4076334434882
2023-03-24,-82.6360665416525
2023-03-25,-88.5578772587143
2023-03-27,-61.4491364040414
2023-03-28,-20.0060082870682
2023-03-29,56.0228520321959
2023-03-30,141.752541976054
2023-03-31,253.052348845107
2023-04-01,385.658106650856
2023-04-03,504.138222360189
2023-04-04,585.453472702954
2023-04-05,645.518729884831
2023-04-06,704.784018751146
2023-04-07,763.069008263322
2023-04-10,746.525592133282
2023-04-11,825.865572397159
2023-04-12,879.775447289022
2023-04-13,949.679039485173
2023-04-14,996.740249882999
2023-04-17,1052.96739260729
2023-04-18,1101.3429683004
2023-04-19,1137.04252730368
2023-04-20,1141.6299102194
2023-04-21,1136.62880952627
